16:07:45.843 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.2 scheduled to DedicatedJobQueue, queue size:1
16:07:46.024 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.6 scheduled to DedicatedJobQueue, queue size:1
16:07:46.076 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.10 scheduled to DedicatedJobQueue, queue size:1
16:07:46.133 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.13 scheduled to DedicatedJobQueue, queue size:1
16:07:46.192 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.16 scheduled to DedicatedJobQueue, queue size:1
16:07:46.247 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.20 scheduled to DedicatedJobQueue, queue size:1
16:07:46.286 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.23 scheduled to DedicatedJobQueue, queue size:1
16:07:46.326 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.26 scheduled to DedicatedJobQueue, queue size:1
16:07:46.404 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.29 scheduled to DedicatedJobQueue, queue size:1
16:07:46.456 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.32 scheduled to DedicatedJobQueue, queue size:1
16:07:46.506 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.35 scheduled to DedicatedJobQueue, queue size:1
16:07:46.561 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.40 scheduled to DedicatedJobQueue, queue size:1
16:07:46.604 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.43 scheduled to DedicatedJobQueue, queue size:1
16:07:46.664 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.47 scheduled to DedicatedJobQueue, queue size:1
16:07:46.705 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.50 scheduled to DedicatedJobQueue, queue size:1
16:07:46.741 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.53 scheduled to DedicatedJobQueue, queue size:1
16:07:46.802 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.57 scheduled to DedicatedJobQueue, queue size:1
16:07:46.917 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.61 scheduled to DedicatedJobQueue, queue size:1
16:07:46.958 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.64 scheduled to DedicatedJobQueue, queue size:1
